pr,skip,identifiers,comment,vin
,country-uk,,2017 Ford Kuga,WF0AXXWPMAHG57855
,country-uk,,2018 Ford Fiesta,WF0JXXGAHJJG51994
,country-uk,,2017 Ford Kuga,WF0AXXWPMAHK58407
,country-uk,,2017 Ford Grand Tourneo Connect,WF0UXXWPGUHB65609
,country-uk,,2019 Ford Focus,WF0PXXGCHPKC34929
,country-uk,,2018 Ford Mondeo,WF0EXXWPCEJU40306
,,,2018 Ford Focus,1FADP3K27JL315560
,,,2017 Ford Focus,1FADP3FE0HL274042
,,,2018 Ford Focus,1FADP3FE3JL208140
,,,2017 Ford Focus,1FADP3F2XHL312740
,,,2018 Ford Focus,1FADP3FE5JL286404
,,,2017 Ford Focus,1FADP3F20HL212162
,,,2018 Ford Focus,1FADP3H28JL309242
,,,2017 Ford Focus,1FADP3M28HL276064
,,,2017 Ford Focus,1FADP3F2XHL251518
,,,2018 Ford Focus,1FADP3M23JL260117
,,,2017 Ford Focus,1FADP3K29HL236210
,,,2018 Ford Focus,1FADP3L99JL297770
,,,2017 Ford Focus,1FADP3M2XHL223494
,,,2017 Ford Focus,1FADP3E20HL262285
,,,2017 Ford Focus,1FADP3H29HL266556
,,,2018 Ford Focus,1FADP3K26JL222772
,,,2017 Ford Focus,1FADP3F27HL230805
,,,2017 Ford Focus,1FADP3H23HL214937
,,,2018 Ford Focus,1FADP3K22JL217911
,,,2018 Ford Focus,1FADP3J21JL232191
,,,2018 Ford Focus,1FADP3J29JL279579
,,,2017 Ford Focus,1FADP3F2XHL204490
,,,2018 Ford Focus,1FADP3F25JL310738
,,,2023 Ford Mustang Mach-E,3FMTK4SX5PMA19641
,,,2022 Ford Mustang Mach-E,3FMTK3SS1NMA58514
,,,2021 Ford Mustang Mach-E,3FMTK3SU9MMA03647
,,,2023 Ford Mustang Mach-E,3FMTK1RM2PMA01544
,,,2018 Ford Focus,1FADP3F23JL320684
,,,2018 Ford Focus,1FADP3K22JL250391
,,,2018 Ford Focus,1FADP3K22JL273556
,,,2018 Ford Focus,1FADP3K24JL208787
,,,2018 Ford Focus,1FADP3FE3JL248928
,,,2018 Ford Focus,1FADP3K28JL264120
,,,2018 Ford Focus,1FADP3L92JL320399
,,,2018 Ford Focus,1FADP3FE3JL261324
,,,2018 Ford Focus,1FADP3K23JL250240
,,,2018 Ford Focus,1FADP3E29JL303938
,,,2018 Ford Focus,1FADP3F27JL214805
,,,2018 Ford Focus,1FADP3K2XJL215503
,,,2018 Ford Focus,1FADP3M28JL291766
,,,2018 Ford Focus,1FADP3H28JL277568
,,,2018 Ford Focus,1FADP3H29JL265364
,,,2018 Ford Focus,1FADP3FE2JL234793
,,,2018 Ford Focus,1FADP3J28JL251773
,,,2018 Ford Focus,1FADP3F23JL292627
,,,2018 Ford Focus,1FADP3M20JL301528
,,,2018 Ford Focus,1FADP3F28JL291392
,,,2018 Ford Focus,1FADP3K23JL316267
,,,2019 Ford Fiesta,3FADP4AJ2KM122439
,,,2017 Ford Fiesta,3FADP4BJ2HM146313
,,,2018 Ford Fiesta,3FADP4EJ3JM127187
,,,2017 Ford Fiesta,3FADP4GX4HM122883
,,,2017 Ford Fiesta,3FADP4GX3HM134314
,,,2017 Ford Fiesta,3FADP4BJ6HM155838
,,,2019 Ford Fiesta,3FADP4BJ0KM122793
,,,2018 Ford Fiesta,3FADP4AJ9JM134974
